sponge	"                    ,基本情况,合租，限女生一名，要求正当职业，不斤斤计较。客厅住的妹子人很nice。,地址：永丰社区六区8楼一室一厅里的卧室，楼梯房没有电梯，离坪洲B口步行6分钟,费用：950/月，押一付一，网费25/月,其他情况,此房本身为全空，没有任何家具电器。我需转租家电和少量家具，冰箱+洗衣机+热水器跟客厅妹子一起置办的，需付我800，卧室空调+床和床垫，需付我400，一共1200～,联系方式：微信如下，备注豆瓣租房,                  "	2020/3/15 12:30	"
    坪洲地铁6分钟，一房一厅的卧室，限女生，950/月
"	https://www.douban.com/group/topic/167798772/	https://www.douban.com/group/topic/167798772/
豆友199109611	"                    ,品牌公寓，拎包入住，一号线地铁站，交通便利，周边生活配套齐全，品牌公寓。,1、【交通】：距离固，戍地铁站800米，门口有多个路线公交车,2、【配套】：全新个性装修、家私电器齐全、光纤网络，随时拎包即住。房型方正，采光通风良好，室内精致装修，小区带有停车位。,3、【生活】：楼下即是生鲜超市，购物方便；周边有沃尔玛、天虹、壹方城购物中心,4、【公寓环境】安静适宜居住，小区空气好，每天有阿姨进行公寓日常保洁，居住人员素质高，随时入住,5、【管理】专人管理，制度完善、24小时专人管理，给你一个安全舒适的居住体验,有需要的可以加我微信聊18970240132,                  "	2020/1/30 14:32	"
    1号线固，戍地铁站，全新品牌公寓，疫情特价活动单...
"	https://www.douban.com/group/topic/164077393/	https://www.douban.com/group/topic/164077393/
zahng	"                    ,公寓直租，不收取任何费用??一手房东。电梯房，户型方正，阳光直晒，大窗透气，晾衣服的最佳好处????一楼大堂设有健身房，休闲区免费使用????全方位服务管理??,公寓位置宝.安大道与广深公路交汇处，位置优越??公交车站100米、30分钟公交车直达南山腹地～科技园～高新园～深大。,大单间1700-2000元，复式户型2000-2100元，加管家先看视频，欢迎来实地看房。管家电话/微信147～0476～9808（说明租房或发图片给我）,大单间,                  "	2020/3/16 0:41	"
    直达南山科技园/宝.安.区/宝.体站/公寓精美大单间1...
"	https://www.douban.com/group/topic/167874897/	https://www.douban.com/group/topic/167874897/
Miss陈小暖	"                    ,家隔壁是深圳大学在阳台上可以可看见深大体育场。,楼下2条地铁线1号线深圳大学，9号线粤海门。,小区新小区环境好安全，到腾讯骑单车10分钟，到深圳万象天地一个地铁站，去深圳湾生态科技园上班骑单车10分钟，走路慢走20分钟。,因为要离开深圳忍痛转房子，房子是4室2卫一个大客厅还有一个大的落地阳台。,其他3间房间是3个可爱的女生人都超级好，我们一起吃饭看电影。一个腾讯工作一个金蝶工作一个金融公司的。,房间2020年9月到期，你可以短租到9月，你也可以之后续约。押二付一，每月3200元。附件小区环境这么好这么便利的价格都没有这么美丽，网费我交了一年，你来了网络赠送给你了。,感兴趣+微信13478831896备注租房，谢谢。期待你！,                  "	2020/3/2 16:10	"
    个人转租阳光粤海花园近深大腾讯科技园以及生态科技园
"	https://www.douban.com/group/topic/166431404/	https://www.douban.com/group/topic/166431404/
笑笑笑、阳仔	"                    ,欢迎+V. Hetu1111随时在线 实地看房 也可扫下方二维码添加,所有房源业主直租 无需任何中.介费服务费,该房位于宝安区一号线坪.州地铁站附近 社区环境优美 房间干净整洁 配有洗衣机 冰箱 空调 油烟机 热水器 衣柜等居家常用家电器。公寓安全舒心 24小时管家服务 无死角监控摄像头 社区出入体温检测。,以下为公寓房间图片展示 喜欢的伙伴可加我微信跟我了解更多关于房子的信息哦      两室一厅3300/月,一室一厅2400/月,大小单间1780_2080/月,                  "	2020/3/14 21:41	"
    一号线坪.洲地铁站 精装大小单间 一室一厅 两室一...
"	https://www.douban.com/group/topic/167744137/	https://www.douban.com/group/topic/167744137/
bigballball	"                    ,1、地理位置：桃园地铁站步行300米，交通便利门口多路公交。靠近深大，两站地铁到达高新园。,2、房间格局：步梯5楼，4室1厅2卫，大户无隔段。房间18平方空间超大，1.5米大床，2个双开门大衣柜，多个储物柜，储物空间非常充裕。窗户朝正南采光通风极佳。,3、室内配置：民水民电，24小时热水器，空调，2台洗衣机可分开使用。目前还有三个房间住的是男生。洗澡时间都很短。建议男生合租。水电均分，夏天一个月水电最多150，管理费30。沙发地毯是自己的，有需要可以转让。,4、周边介绍：步行可到马路对面天虹商场、南山医院、社康、酒店、桂庙。周边学校、银行、超市、菜市场、公园、健身房、小吃街等便民设施齐全。,联系方式：吴先生18219110209 微信18014441,                  "	2020/3/14 0:30	"
    南山 桃园地铁站300M 大单间转租 2100 h
"	https://www.douban.com/group/topic/167651242/	https://www.douban.com/group/topic/167651242/
L	"                    ,房东直租，不收任何中介费 看房费的，放心看房哦,联系方式 17666663725（VX同号）,需要看房的伙伴可以扫一扫下方二维码加管理员微信预约免费接送看房,复式  单间  一室一厅 两室一厅 三室一厅 等都有,需要查看小视频的宝宝可以加微信详细了解,加我微信后麻烦告知我你的要求及预算还有上班地点，我好为你匹配最佳房源哈～,房源距离地铁近，精装修电梯房，采光非常好，公寓24小时保安管理，安全可靠，只上架部分精品房型有需要了解的可加我微信了解,小单间1000-1500,大套间1680-1880,精装复式1500-1800,一房一厅1500-2280,两房一厅2380-3100,单间户型,双床户型 适合合租的宝宝,一房一厅,两房一厅,                  "	2020/2/26 20:02	"
    一号线 宝安沿线地铁口品牌公寓招租 拎包入住 无中...
"	https://www.douban.com/group/topic/165990825/	https://www.douban.com/group/topic/165990825/
东玲兒	"                    ,因工作地点搬迁到福田 ??,本人急转南山万科云城1期次卧一间,房租2650元/月 wif共享 ,有4个房间 2个套间有配洗手间?? ,所以我这个房间跟另一个人共用一个洗手间,完全不耽誤上班的朋友！！??,万科云城精装修 good！ ,全屋木地板 有空调系统 新风系统等等硬装.,高档小区环境 两个保安处安全性极高.,大堂跟楼梯间干净 高级！！配有密码锁。,周边配套设施： 万科里美食街 ,kfc???? 奈雪 喜茶 星爸爸 ?? 西北 72号渔船??等等餐饮 711便利店  火锅店  ??百果园 ?? 应有尽有就买楼下啦～,还有24生鲜超市?? 肉类水果蔬菜新鲜 .,每天都有班车??去科技园/ 打车去万象天地10分钟 去深大10分钟/366大街5分钟 /福田30分钟内,?????♀?步行至5号线留仙洞地铁15分钟～也可以直接楼下坐2个站公交 ??3分钟就到地铁口！！！,周一到周五晚可看房 周六日可看房。,可以扫二维码加我微信啦～～！！！,                  "	2020/3/7 23:38	"
    南山万科云城急转合租房次卧2650月 月底可搬！
"	https://www.douban.com/group/topic/166993485/	https://www.douban.com/group/topic/166993485/
默默	"                    ,宝安堌戍自家房源，独栋公寓招租，公寓管家免费带看房，疫情期间支持视频看房，看中直接与房东签约，不收中介费和其他费用（如发现管家有私下收取其他费用或红包，欢迎举报，一经核实，立即开除）管家联系方式：13149904475（VX同号）,家具配套：1.全新装修，家私电器齐全，拎包入住，可以视频看房。,（家私：沙发、桌子、床、记忆床垫、床头柜等）,（家电：空调、冰箱、洗衣机、热水器等应有尽有）,2.统一管理，电子*锁入户(3道门锁)，安全无忧！,3.电信100M网络、定期入住随时清洁、维修工随时待命！,房租--,复试房：1380-1680,整租小单间：850-1280,整租大单间：1380-1600,一房一厅：1680-2500,两房一厅：2500-5000,租金=房租+管理费+水电费,管理费100元；电费1.5/度；水费8元/方,加好友请备注豆瓣租房，谢谢。,                  "	2020/3/15 22:13	"
    【深圳宝安】招租，家私家电齐全 拎包入住～
"	https://www.douban.com/group/topic/167860639/	https://www.douban.com/group/topic/167860639/
凤凰山	"                    ,步行6-8分钟到地铁站,直租无需中介费,单间1600-1900,一房一厅2200-2400,管家微-信：1314-3472-273,                  "	2020/3/15 19:37	"
    五号线灵-芝地铁站500米精美单间1600/月 一房一厅2...
"	https://www.douban.com/group/topic/167842124/	https://www.douban.com/group/topic/167842124/
